anime_id,genre_id
24833,"1, 4, 28, 33"
29893,"9, 29, 33, 35"
27663,"26, 28, 33, 37"
1482,"1, 2, 4, 33"
3371,"1, 20, 29, 36"
25313,"1, 4, 13, 23, 27, 29, 33"
1430,"2, 4, 33"
33051,"1, 7, 19, 29, 36"
7720,"4, 37"
1914,"2, 4, 7, 9, 13, 26"
20371,"4, 7, 26, 34"
15039,"7, 35, 39"
2164,"2, 4, 7, 22, 29"
237,"2, 7, 19, 26, 29"
2449,"1, 19, 22, 24, 25, 29, 30"
10643,"1, 4, 23, 27"
17739,"4, 28, 35"
135,"4, 10, 33, 39"
6045,"26, 28, 31, 35"
16001,"4, 7, 26, 28, 35, 39"
6211,7
232,"2, 4, 7, 9, 17, 26, 28, 31"
4789,"7, 22, 26, 39"
16918,"4, 28, 33, 35"
16,"4, 7, 15, 26"
1486,"4, 7, 26, 31"
24997,"21, 28, 35"
32902,"9, 17"
8063,"4, 7, 26, 34"
25879,"4, 26, 35"
889,"1, 30"
21419,"1, 22, 24, 33"
2952,"1, 9, 38"
934,"14, 22, 25, 39, 40"
12189,"22, 28, 35"
731,"2, 7, 21, 29"
1530,"7, 26, 35, 39"
9656,"26, 28, 31, 35"
20507,"1, 2, 33, 39"
31149,"1, 9, 30, 39"
4918,"4, 7, 22, 25, 39"
14075,"1, 7, 9, 17, 22, 25, 33"
4772,"4, 33, 35"
781,"2, 4, 22, 24, 33"
1363,"2, 4, 22, 24, 33"
223,"2, 4, 9, 18, 33, 38"
2004,"4, 7, 35, 39"
25649,"4, 7, 26, 34"
153,"1, 2, 9, 17, 39"
5029,"1, 33, 37"
302,"2, 7, 29"
8740,"1, 2, 4, 9, 33, 38"
5682,"1, 7, 30, 40"
21647,"4, 26, 35"
16049,"1, 29, 38"
1065,"7, 26, 28, 33, 35, 37"
18179,"4, 7, 33, 37"
47,"1, 2, 14, 20, 29, 39"
4901,"1, 30"
23199,"1, 22, 39"
32122,"1, 4, 13, 23, 27, 33"
30415,"28, 35, 37"
851,"4, 33"
10049,"1, 6, 33, 39"
1943,"9, 14, 22, 25, 29, 40"
4053,"4, 28, 33, 37"
846,"4, 26, 28, 33"
9926,"4, 7, 26, 34"
31173,"7, 9, 26, 31"
4059,"7, 26, 28, 35"
589,"1, 2, 7, 33"
15059,"1, 3, 7, 30, 37"
7791,"4, 21, 28, 35"
17265,"1, 2, 9, 10, 17, 33"
20815,"4, 26, 34"
535,"2, 4, 6, 9, 17"
2563,"9, 29, 33, 35"
9963,"2, 4, 22, 24, 33"
32551,"1, 2, 4, 7"
2951,"1, 4, 13, 19, 23, 27, 29, 33"
2762,"2, 4, 26, 33"
14713,"4, 6, 9, 26, 31, 39"
14807,"7, 22, 30, 39"
81,"2, 7, 19, 20, 26, 29"
9204,"1, 2, 9, 16"
31098,"4, 6, 33, 39"
1023,"2, 7, 25, 29, 39"
33253,"1, 14, 22, 30, 39"
24921,"1, 29, 30"
1471,"1, 4, 22, 33"
27831,"1, 22, 39"
2924,"7, 22, 26"
4672,"1, 19, 24, 25, 29, 30"
2448,"1, 19, 29"
3907,"2, 26, 29, 33, 36"
186,"1, 3, 7, 30, 37"
10080,"4, 11, 26, 33, 39"
30885,"1, 2, 33"
21469,"4, 16, 29, 33"
9941,"1, 4, 22, 38"
14813,"4, 7, 26, 28"
6421,"2, 7, 9, 17, 20, 33"
21855,"4, 22, 39"
11739,"4, 7, 26, 28, 33, 35"
2159,"4, 37"
28297,"4, 26, 31"
29831,"4, 7, 35"
2154,"1, 2, 25, 39"
6505,"4, 26"
861,"4, 7, 22, 25, 39"
1689,"7, 26, 35"
34103,"1, 14, 22, 25"
3665,"7, 20, 29, 36"
9996,"13, 27, 30"
7711,9
77,"1, 4, 7, 17, 38"
401,"7, 13, 26, 27, 33"
32093,"4, 28, 35"
12113,"1, 2, 6, 7, 9, 14, 20, 30, 39"
7338,"1, 22, 29, 38"
32613,"1, 9"
3014,"1, 13, 20, 29, 36"
645,"10, 33"
11135,"7, 13, 26, 29, 34"
5781,"1, 4, 8, 9, 11, 19, 28"
13767,"4, 7, 26, 34"
5678,"4, 7, 9"
6774,"4, 7, 25, 30"
1089,"1, 19, 20, 21, 26, 29, 36"
25161,"2, 4, 9, 33"
995,"1, 4, 33, 37"
2752,"1, 4, 37"
15,"1, 4, 33, 37"
122,"4, 7, 21, 26, 31, 39"
29095,"7, 11, 25, 26"
1594,"14, 22, 25, 39"
3092,"4, 7, 26, 34"
10721,"4, 7, 22, 25"
16395,"4, 28, 33"
3588,"1, 2, 4, 9, 33, 39"
4106,"1, 4, 29"
387,"7, 9, 22, 25, 35"
16916,"4, 28, 33, 37"
1088,"1, 19, 20, 21, 26, 29, 36"
10620,"1, 22, 25, 33, 39, 40"
2143,"1, 2, 7, 9, 31"
6582,"4, 23, 30, 38"
2158,"1, 7, 20, 29, 36"
22319,"1, 7, 14, 22, 25, 30, 39"
11113,"15, 35"
6586,"16, 28, 31"
66,"4, 28, 35"
8142,"7, 35, 39"
6438,"2, 4, 22, 24, 33"
33032,"1, 2, 4, 9, 13, 27, 30"
227,"1, 4, 5, 19, 23, 29"
73,"1, 19, 20"
4898,"1, 4, 6, 9, 13, 33, 39"
19111,"21, 28, 35"
7222,"1, 19, 20, 21, 26, 29, 36"
22097,"1, 2, 9, 17, 33"
15689,"4, 26, 39"
957,"2, 4, 7, 9, 13, 26"
24,"4, 26, 28, 33"
33286,"1, 8, 9, 28, 33, 39, 41"
849,"4, 22, 23, 28, 29, 35"
2623,"7, 13"
268,"2, 4, 8"
29093,7
427,"4, 7, 9, 31"
4280,"1, 22, 39, 40"
18429,"1, 4, 22, 33"
17549,"4, 28, 30, 35"
26123,"4, 28, 33, 35"
28,"4, 33"
9513,"1, 4, 6, 28, 33, 39"
14353,"7, 10, 22, 25, 40"
8408,"1, 4, 39"
13331,"1, 2, 30"
4985,"1, 4, 7, 17, 38"
29803,"1, 2, 9, 10, 17, 39"
22,"1, 4, 28, 33, 37"
2618,"2, 7, 13, 22"
793,"4, 7, 22, 25, 39"
30279,"4, 28, 32, 35"
28755,"1, 4, 18, 33, 38"
10029,"13, 26, 28, 31"
2035,"7, 13, 26, 30, 35"
790,"22, 25, 29"
9289,"4, 7, 30, 35"
15809,"4, 6, 9, 26, 33"
27989,"7, 21, 28"
5630,"1, 4, 7, 22, 26, 29, 40"
2829,"2, 7, 13, 35"
30831,"2, 4, 9, 39"
416,"1, 2, 4, 7, 13, 20, 26"
85,"7, 19, 20, 29, 36"
30240,"4, 8, 26, 28, 30"
1254,"2, 9, 29, 33"
2605,"4, 23, 28"
4163,"4, 23, 26, 28"
3228,"4, 23, 28"
1485,"4, 7, 31"
6351,"7, 26, 28"
13119,"1, 7, 13, 15, 27, 39"
3782,"1, 22, 26, 39, 40"
3572,"1, 19, 20, 21, 26, 29, 36"
8310,"2, 4, 26, 33"
114,"4, 28, 33"
11813,"1, 4, 18, 28, 33"
658,"10, 25, 30, 40"
10012,"4, 23, 39"
32370,"1, 6, 33, 38"
22961,"26, 35"
22777,"1, 2, 4, 9, 18, 33, 38"
29787,"4, 35"
7062,"4, 28, 35"
11887,"4, 7, 26, 28, 35, 39"
9088,"1, 2, 7, 9, 31"
12815,"4, 15, 35"
12017,"1, 4, 22, 38"
6377,"4, 23, 28"
1470,"1, 4, 22, 33"
780,"2, 4, 22, 24, 33"
27633,"4, 26, 28"
2321,"1, 19, 29, 33, 38"
17273,"4, 13, 23"
429,"4, 7, 31"
18661,"4, 6, 9, 31, 39"
14349,"2, 4, 9, 17, 28"
1729,"7, 28, 32, 35"
31973,"1, 7, 19, 20, 29, 36"
17949,21
996,"2, 4, 7, 9, 17, 26, 31"
9465,"1, 9, 19, 20, 33"
14175,"4, 7, 35"
11239,"4, 28, 35"
967,"1, 7, 18, 29, 33"
1695,"7, 13, 31, 35"
339,"5, 7, 22, 25, 29, 39"
7724,"22, 39, 40, 41"
2753,"7, 13"
8516,"4, 26, 28, 38"
779,"2, 4, 22, 24, 33"
1366,"2, 4, 22, 24, 33"
19319,"1, 19, 29"
15195,"4, 13, 23"
187,"1, 3, 7, 30, 37"
30311,"4, 37"
597,"2, 7, 9"
400,"1, 2, 4, 29, 36"
18245,"7, 21, 26, 35"
10521,"4, 35"
28907,"1, 2, 9, 20"
31637,"1, 2, 9, 20"
1571,"4, 14, 22, 31, 39"
267,"1, 7, 29, 30, 38"
253,"4, 28, 35"
22673,"4, 37"
4080,"2, 4, 9, 26, 31"
27947,"1, 2, 4, 33"
12917,"2, 7, 9, 16"
3750,"28, 31, 32, 35"
569,"4, 20, 23, 29, 36"
6007,"9, 13, 26"
1253,"1, 2, 6, 9, 29, 33, 38"
15771,"4, 30, 35"
397,"1, 20, 26, 29, 36"
949,"1, 4, 7, 19, 20, 29, 33, 36"
11001,"1, 4, 20, 26"
17909,"4, 7, 9, 35"
21185,"26, 28, 33, 37"
9724,"1, 19, 20, 33"
6768,"1, 19, 20, 38"
4872,"4, 23, 28"
12413,"1, 2, 30"
2076,"22, 33"
31251,"1, 7, 19, 29, 36"
5485,"1, 19, 33, 38"
5005,"4, 23, 30, 38"
890,"2, 19, 29, 33"
269,"1, 4, 33, 38, 39"
14741,"4, 7, 26, 28, 35"
1472,"1, 4, 22, 33"
33028,"1, 14, 22, 25"
7304,"2, 22"
8609,"2, 4, 22, 24, 33"
6033,"1, 2, 4, 9, 18, 33, 38"
8479,"4, 13, 23"
254,"4, 35"
8525,"4, 11, 26, 33, 39"
19703,"1, 9, 39"
25517,"2, 4, 26, 33"
31764,"1, 2, 9, 20"
27775,"7, 26, 29"
21339,"1, 20, 24, 29"
2104,"4, 23, 26, 28"
24893,"1, 19, 29, 30, 36"
2150,"2, 4, 9, 16, 35"
12445,"14, 22, 26, 28, 33, 39"
543,"1, 7, 9, 14, 26, 29, 41"
23225,"4, 32, 35"
9252,"1, 9, 19, 20, 33"
12893,"4, 28, 33, 35"
1505,"2, 4, 22, 24, 33"
4447,"2, 4, 22, 24, 33"
317,"1, 9, 38"
22265,"4, 28, 35, 37"
13117,"1, 7, 13, 15, 27, 39"
9563,"4, 28, 35"
16904,"1, 38, 39"
97,"1, 2, 29"
20517,"4, 7, 26, 28, 35, 39"
2273,"1, 7, 19, 20, 29, 36"
1735,"1, 4, 18, 33, 38"
20159,"1, 2, 4, 9, 16"
12403,"4, 28, 32, 35"
7044,"4, 23, 28"
31646,"7, 10, 30, 35"
32998,"1, 7, 13"
30123,"7, 9, 26, 31"
31339,"1, 2, 4, 9, 13, 27, 30"
2890,"2, 9"
468,"19, 20, 24, 25, 29"
29755,"4, 7, 28, 33, 37"
25303,"33, 37"
24471,"4, 9, 39"
516,"4, 29, 33"
1425,"1, 2, 4, 33"
5310,"1, 19, 20, 21, 26, 29, 36"
93,"1, 7, 19, 20, 26, 29, 36"
8038,"4, 15, 21, 26"
322,"4, 7, 15, 26, 35"
6154,"2, 29, 33"
7588,"13, 27, 30"
10083,"14, 22, 39, 41"
1172,"2, 4, 6, 9, 17, 33"
31711,"4, 8, 11, 26, 28, 29, 33"
2265,"1, 19"
23249,"1, 7, 20, 29, 36"
202,"1, 2, 7, 9, 22, 29"
30370,"1, 4, 9, 31"
9919,"1, 6, 9, 33, 39"
1818,"1, 2, 6, 9, 33, 38, 39"
34036,"2, 4, 22, 24, 33"
10090,"19, 20, 22, 24, 29, 30"
17895,"4, 26, 30"
1824,"7, 13"
4192,"1, 4, 11, 23, 26"
10357,"4, 9, 30"
30745,21
19489,"2, 4, 9, 17, 28"
4472,"4, 23, 28, 35"
19613,"1, 3, 30, 37"
5530,"2, 9, 22, 33, 39"
6591,"13, 26"
10218,"1, 2, 6, 9, 20, 30, 39"
388,"3, 33, 37"
28999,"7, 28, 38"
1473,"1, 4, 22, 33"
1379,"2, 7, 9"
23293,"1, 2, 4, 7, 30"
1910,"2, 22"
33221,"1, 7, 19, 20, 29, 36"
18897,"4, 11, 26, 28, 33"
31592,"1, 2, 4, 9, 16"
31380,"4, 8, 11, 26, 28, 29, 33"
28677,"4, 11, 22, 26, 28, 33, 39"
7193,"7, 13, 25, 30, 40"
1961,"2, 4, 7, 9"
21405,"4, 26, 28, 35"
6024,"4, 16, 35"
2761,"7, 19, 29, 36"
1491,"2, 7, 29, 36"
106,"7, 26, 28, 31"
5835,"7, 26, 31"
3604,"4, 28, 35"
11237,"4, 28, 35"
2828,"2, 7, 13, 16, 35"
4087,"1, 2"
28881,"3, 30, 37"
21473,"1, 9, 30, 39"
582,"4, 18, 28, 33"
8311,"2, 9, 33, 39"
21995,"4, 7, 26, 28, 31, 35"
532,"7, 17, 26, 31"
552,"1, 2, 4, 9, 16"
13629,"7, 21, 26, 35"
7645,"1, 4, 9, 17, 28, 31, 35"
249,"1, 2, 4, 6, 9, 17, 26, 33, 39"
4886,"2, 4, 6, 9, 17, 26, 33, 39"
451,"2, 4, 6, 7, 9, 13, 26, 33, 39"
9734,"4, 21, 28, 35"
433,"7, 20, 26, 29"
6115,"1, 2, 4, 22, 33"
80,"1, 19, 20, 29, 36"
1092,"1, 2, 7, 19, 20, 29, 36"
20767,"1, 2, 33"
10119,"4, 28, 33, 35"
1921,"1, 2, 4, 7, 26, 29"
1562,"4, 31"
11111,"14, 22, 28, 39, 40"
32863,"1, 4, 28, 33"
11737,"1, 6, 9, 33, 39"
28249,"1, 2, 7, 9, 13, 33"
13535,"4, 23, 33, 39"
1520,7
28121,"1, 2, 4, 9, 26"
30191,"1, 22, 39"
10497,"4, 13, 23"
6862,"4, 21, 28, 35"
251,"2, 4, 6, 9, 31"
18153,"9, 35, 39"
875,"2, 4, 5, 25, 26"
795,"7, 28, 31, 32"
33994,4
18397,"1, 7, 9, 33, 38"
29830,"4, 7, 35"
16870,"1, 18, 26, 33, 38"
479,"2, 4, 7, 33, 39"
15197,"1, 19, 20"
32189,"1, 14, 22, 25"
31859,"1, 2, 7, 9"
15451,"1, 4, 6, 8, 11, 26, 28"
33446,"4, 26"
570,"7, 20, 24, 25, 26"
5680,"4, 21, 28, 35"
2175,"2, 7, 9"
1887,"4, 23, 28, 35"
90,"1, 7, 19, 20, 29, 36"
91,"1, 7, 19, 20, 29, 36"
2594,"2, 4, 7, 21, 28, 30"
210,"4, 9, 18, 35"
1007,"4, 18, 26, 33"
19775,"1, 19, 29, 30, 36"
534,"2, 4, 6, 9, 17"
9790,"4, 7, 8, 11, 26, 29, 33, 39"
2582,"1, 7, 19, 20, 29, 36"
407,"4, 7, 22, 24, 33"
6213,"1, 29, 38"
1000,"1, 2, 7, 29, 30, 36"
1375,"4, 13, 26, 28, 31, 35"
8514,"1, 9, 19, 20, 33"
951,"4, 31, 35"
12117,"2, 4, 22, 24, 33, 37"
2508,"4, 23, 35"
19115,"7, 13"
6904,"1, 14, 20, 30, 38, 39, 41"
22125,"4, 28, 33, 37"
4454,"1, 19, 20, 21, 29, 36"
32547,"4, 28, 30, 35"
15959,"1, 6, 33, 39"
16239,"1, 2, 4, 9, 33, 38"
31772,"1, 4, 23, 29, 30, 38, 39"
396,"1, 20, 26, 29, 36"
8407,"4, 8, 11, 26, 29, 33, 39"
20057,"4, 29, 36"
9074,"4, 26, 30"
7305,"2, 4, 22, 24, 33"
226,"1, 7, 14, 25, 26, 30, 39"
644,"4, 7, 15, 26, 35"
2405,7
15117,"4, 11, 26, 33, 39"
10460,"4, 7, 26, 28, 33, 35"
6050,"1, 2, 8, 17, 33, 39"
444,"7, 26, 28, 31, 32"
82,"2, 7, 19, 20, 29, 36"
15315,"4, 9, 39"
30347,"1, 2, 9, 33, 39"
31704,"1, 4, 23, 29, 30, 38, 39"
1699,"7, 9, 13, 26"
517,"4, 26, 28, 33"
29829,"4, 7, 35"
30868,"1, 14, 22, 30, 39"
22199,"1, 2, 9"
14941,"21, 29"
978,"1, 2, 14, 19, 25, 29, 33"
2994,"22, 24, 25, 39, 40"
14735,"2, 4, 22, 24, 33"
10350,"1, 6, 7, 9, 13, 15"
20431,"4, 9, 39"
15487,"4, 28, 33, 37"
1462,"7, 14, 25, 29"
13667,"1, 2, 18, 33, 38"
28927,"1, 7, 33, 39, 41"
398,"1, 20, 26, 29, 36"
20847,"4, 28, 33, 35"
2451,"1, 2, 29, 36"
8937,"1, 17, 29, 38"
12883,"4, 29, 35, 37"
30413,"4, 7, 33, 37"
30902,"4, 32, 35"
6347,"4, 26, 28, 38"
3841,"4, 35"
8086,"1, 2, 9, 17, 33"
9982,"4, 8, 9, 17, 33"
1888,"4, 28, 35"
33082,1
1096,"7, 19, 22, 24, 29"
14407,"1, 9, 30, 39"
1719,"1, 4, 7, 17, 30"
290,"1, 20, 26, 29, 36"
154,"1, 2, 4, 7, 33, 39"
11757,"1, 2, 9, 10, 26"
5074,"1, 4, 29"
31733,"6, 17, 26, 31"
1690,"7, 19, 25, 29"
4177,"1, 20, 29"
10092,"1, 19, 20, 33"
9785,"2, 4, 16, 22, 24, 33"
985,"2, 7, 9, 33"
18055,"1, 9, 31, 39"
6984,"4, 28, 35"
27991,"1, 38, 39"
21659,"1, 4, 28, 38"
3545,"4, 24, 35"
474,"7, 19, 20, 26, 29, 36"
1211,"1, 2, 19, 20, 26, 29, 36"
9510,"4, 28, 35"
5751,"4, 28, 33, 37"
3515,"1, 9, 33, 38"
13663,"4, 8, 11, 26, 28, 29, 33"
13851,"4, 8, 11, 26, 28, 29, 33"
6956,"4, 35"
9441,"31, 35"
233,"4, 29, 31"
2397,"2, 4, 16, 29"
345,"7, 13, 26, 30, 35"
