anime_id,name,type,episodes,avg_rating,members,studio_id,rating,status,premiered
7337,"""Hetalia Axis Powers Movie: Paint it, White""",Movie,1,7.47,36986,,,,
815,"""Prince of Tennis: The Two Samurai, The First Game""",Movie,1,7.47,14249,,,,
15793,"""Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music…""",TV,13,7.46,25750,,,,
23319,"""Suisei no Gargantia: Meguru Kouro, Haruka""",OVA,2,7.46,20151,,,,
30300,"""High School DxD New: Oppai, Tsutsumimasu!""",OVA,1,7.45,41436,,,,
11793,"""Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode""",Special,1,7.44,5533,,,,
20939,"""Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA""",OVA,1,7.42,35583,,,,
32174,"""The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.""",Special,1,7.41,2602,,,,
8134,"""Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!""",Movie,1,7.37,1577,,,,
963,"""Love Hina: Motoko no Sentaku, Koi ka Ken... &quot;Naku na&quot;""",Special,1,7.36,28222,,,,
11033,"""Natsu-iro Egao de 1, 2, Jump!""",Music,1,7.34,6939,,,,
2624,"""Flanders no Inu, Boku no Patrasche""",TV,26,7.32,811,,,,
23447,"""Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.""",Special,1,7.29,19772,,,,
20457,"""Inari, Konkon, Koi Iroha.""",TV,10,7.28,65402,,,,
25143,"""Kono Danshi, Sekika ni Nayandemasu.""",OVA,1,7.24,8873,,,,
21189,"""Wake Up, Girls! Shichinin no Idol""",Movie,1,7.23,14420,,,,
30419,"""Wake Up, Girls! Beyond the Bottom""",Movie,1,7.18,2555,,,,
20449,"""Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru""",OVA,1,7.16,39779,,,,
28841,"""Wake Up, Girls! Seishun no Kage""",Movie,1,7.15,3560,,,,
31815,"""Kono Danshi, Mahou ga Oshigoto Desu.""",TV,4,7.13,9961,,,,
7366,"""Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e""",Movie,1,7.12,880,,,,
358,"""Iriya no Sora, UFO no Natsu""",OVA,6,7.12,18254,,,,
11355,"""Kono Danshi, Uchuujin to Tatakaemasu.""",OVA,1,7.1,12732,,,,
19023,"""Wake Up, Girls!""",TV,12,7.04,29679,,,,
1249,"""Zone of the Enders: Dolores, I""",TV,26,7.04,6753,,,,
11751,"""Senki Zesshou Symphogear: Meteoroid-Falling, Burning, and Disappear, Then…""",TV,13,7.02,47588,,,,
1540,"""Touch: Miss Lonely Yesterday - Are kara, Kimi wa…""",Special,1,7.02,1627,,,,
1481,"""Urusei Yatsura: Haru da, Tobidase!""",Special,2,7.01,1815,,,,
12549,"""Dakara Boku wa, H ga Dekinai.""",TV,12,6.96,169615,,,,
22057,"""Inari, Konkon, Koi Iroha.: Inari, Konkon, Semishigure.""",OVA,1,6.95,12930,,,,
25719,"""Futsuu no Joshikousei ga [Locodol] Yattemita.: Nagarekawa, Annai Shitemita.""",Special,1,6.94,6615,,,,
7474,"""Onegaiâ˜†Teacher: Marie, Ai no Gekijou""",Special,1,6.93,7254,,,,
14893,"""Dakara Boku wa, H ga Dekinai. OVA""",OVA,1,6.91,32195,,,,
15609,"""Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito""",OVA,1,6.91,21636,,,,
20843,"""Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music... Specials""",Special,2,6.86,4645,,,,
13367,"""Kono Naka ni Hitori, Imouto ga Iru!""",TV,12,6.85,92252,,,,
27419,"""Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari""",Special,1,6.82,3466,,,,
2628,"""Theâ˜†Doraemons: Strange, Sweets, Strange?""",Movie,1,6.8,432,,,,
5256,"""Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai""",Special,1,6.78,6671,,,,
2650,"""Doraemon Movie: Boku, Momotarou no Nanna no Sa""",Movie,1,6.77,591,,,,
17743,"""Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no ja!""",Special,1,6.77,10133,,,,
24705,"""Ore, Twintail ni Narimasu.""",TV,12,6.76,66868,,,,
8861,"""Yosuga no Sora: In Solitude, Where We Are Least Alone.""",TV,12,6.72,173216,,,,
14145,"""Hanayaka Nari, Waga Ichizoku: Kinetograph""",OVA,2,6.64,8305,,,,
8560,"""Kyou, Koi wo Hajimemasu""",OVA,2,6.62,20953,,,,
15325,"""Dakara Boku wa, H ga Dekinai. Recap""",Special,1,6.6,11869,,,,
16101,"""Jinrui wa Suitai Shimashita: Ningen-san no, Yousei-san Memo""",ONA,1,6.6,3083,,,,
21571,"""Pokemon: Pikachu, Kore Nan no Kagi?""",Movie,1,6.59,2213,,,,
21679,"""Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA""",OVA,1,6.54,14564,,,,
31630,"""Gyakuten Saiban: Sono &quot;Shinjitsu&quot;, Igi Ari!""",TV,24,6.49,61410,,,,
17777,"""Saikin, Imouto no Yousu ga Chotto Okashiinda ga.""",TV,12,6.46,74320,,,,
29722,"""Eikoku Ikka, Nihon wo Taberu""",TV,24,6.43,729,,,,
3671,"""Genesis Climber Mospeada: Love, Live, Alive""",OVA,1,6.4,712,,,,
5693,"""Shinran-sama: Negai, Soshite Hikari""",OVA,1,6.38,150,,,,
30445,"""Wake Up, Girls! Deai no Kiroku: A Brief Recording""",OVA,1,6.39,810,,,,
32503,"""Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)""",Special,1,6.37,372,,,,
14007,"""Akai Shouzou: Char, Soshite Frontal e""",Special,1,6.36,686,,,,
2309,"""Azusa, Otetsudai Shimasu!""",OVA,1,6.34,1973,,,,
8848,"""Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!""",Movie,1,6.34,175,,,,
17963,"""Tetsuwan Atom: Kagayakeru Hoshi - Anata wa Aoku, Utsukushii…""",Movie,1,6.28,302,,,,
4484,"""Umi no Yami, Tsuki no Kage""",OVA,3,6.27,483,,,,
7597,"""Boku, Otaryman.""",OVA,1,6.25,3294,,,,
19235,"""Dance, Dance, Dance""",Music,1,6.2,376,,,,
310,"""Chiisana Obake Acchi, Kocchi, Socchi""",TV,50,6.17,1226,,,,
29974,"""Diabolik Lovers More,Blood""",TV,12,6.13,37924,,,,
23621,"""Sagashita no wa Oheya, Mitsuketa no wa Mirai""",ONA,1,6.12,204,,,,
12665,"""Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal""",Special,1,6.13,12967,,,,
13195,"""Misenai Namida wa, Kitto Itsuka""",Music,1,6.07,279,,,,
25875,"""Wake Up, Girl Zoo!""",ONA,10,6.07,3308,,,,
32382,"""Wake Up, Girls! no Miyagi PR Yarasete Kudasai!""",Special,1,6.1,535,,,,
9087,"""Mobile Suit SD Gundam Musha, Knight, Commando""",Movie,2,6.02,860,,,,
29323,"""Oyaji no, Imo no Kamisama.""",Special,1,6.02,202,,,,
30133,"""Ima, Futari no Michi""",Special,1,6.01,352,,,,
33105,"""Wake Up, Girl Zoo! Miyagi PR de Go!""",Special,1,5.94,283,,,,
8664,"""Slime Boukenki: Umi da, Yeah!""",Special,1,5.92,403,,,,
31252,"""Korekarasaki, Nando Anata to.""",Music,1,5.79,370,,,,
31908,"""Ai think so,""",Music,1,5.77,203,,,,
28077,"""Go! Go! 575: Meippai ni, Hajiketeru?""",Special,1,5.74,1628,,,,
30473,"""Nemure Omoi Ko, Sora no Shitone ni""",Movie,1,5.53,508,,,,
32084,"""Watashitachi, Luck Logic-bu!""",TV,12,5.55,1417,,,,
7482,"""Yume kara, Samenai""",OVA,1,5.55,366,,,,
20725,"""Lies, Lies.""",Music,1,5.26,185,,,,
29905,"""Yasashii Fue, Tori, Ishi""",Movie,1,5.1,139,,,,
22159,"""Yami no Kioku, Yume no Inei""",Movie,1,4.53,181,,,,
25627,"""&quot;Aesop&quot; no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu""",Movie,1,5,113,,,,
31563,"""Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku""",Special,1,7.12,122,,,,
19557,"""Anpanman to Hajime yo! Iro, Kazu, Katachi Wakarukana Iro, Katachi""",Special,1,5.97,120,,,,
33821,"""Aoyo, Kaette Koi: Tokyo Dai Kuushuu""",OVA,1,8.5,26,,,,
23731,"""Boku datte, Kirei ni Shitainda""",OVA,1,4,54,,,,
9903,"""Chi Dor Dor, Chi Dor Dor""",TV,15,5.77,87,,,,
19905,"""Dai-chan, Daisuki.""",Movie,1,6.13,91,,,,
2636,"""Dorami-chan: Wow, The Kid Gang of Bandits""",Movie,1,5.35,126,,,,
32010,"""Eikoku Ikka, Nihon wo Taberu: English Ikka, Shougatsu wo Taberu""",Special,1,6.46,95,,,,
16748,"""Fly, Space Battleship Geobukseon""",Movie,1,4.11,94,,,,
26105,"""Gomen ne, Mii-chan""",OVA,1,7.5,47,,,,
30927,"""Hanakappa no Koutsuu Anzen: Cake wo Momomete Migi, Hidari, Migi""",OVA,1,4.67,35,,,,
28575,"""Hanshin Awaji Daishinsai ni Manabu: Boku wa, Ano Hi wo Wasurenai.""",OVA,1,7,44,,,,
19071,"""Hyakumannen Attara, Dousuru?""",OVA,1,5,61,,,,
26227,"""Ikitemasu, 15-sai.""",OVA,1,6.33,53,,,,
5581,"""Kaitei Daisensou: Ai no 20,000 Miles""",Special,1,6.03,141,,,,
13821,"""Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?""",Movie,1,5.58,113,,,,
26225,"""Kii-chan Watashi, Umarete Kite Yokatta!""",OVA,1,7.25,52,,,,
31071,"""Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou""",TV,5,4.14,234,,,,
32408,"""Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (ONA)""",ONA,2,4.31,75,,,,
33878,"""Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu no Asakusa Rinyuuaru Daisakusen!! - Aa, Om""",Special,1,7.05,101,,,,
31054,"""Letchu, Getchu, Saru Getchu""",TV,76,5.05,104,,,,
32310,"""Letchu, Getchu, Saru Getchu Episode 0""",Special,1,3.52,54,,,,
25027,"""Little Polar Bear: Shirokuma-kun, Doko e?""",Movie,1,6.56,107,,,,
25029,"""Little Polar Bear: Shirokuma-kun, Fune ni Noru""",OVA,1,5.78,109,,,,
6577,"""Machine Robo: Leina, The Legend of Wolf Blade""",OVA,3,6.25,248,,,,
31463,"""Maemilggot, Unsu Joeun Nal, Geurigo Bombom""",Movie,1,5.5,67,,,,
9820,"""McDull, the Alumni""",Movie,1,6.38,83,,,,
29365,"""Mirai e no Niji: Boku no Ojisan wa, Hansen-byou""",OVA,1,8.5,45,,,,
32999,"""Neko mo, Onda-ke""",TV,12,3.63,234,,,,
25059,"""Nikoniko, Pun""",TV,40,5.88,62,,,,
26315,"""Okaasan, Nakanaide""",OVA,1,8,49,,,,
8229,"""on-chan, Yume Power Daibouken!""",Special,1,5.4,98,,,,
27389,"""Ore-tachi, Tomodachi!""",OVA,1,6.25,53,,,,
30803,"""Planetarium Chibi Maruko-chan, Hoshi ni Negai wo""",Movie,1,6.73,151,,,,
5240,"""Pyuu to Fuku! Jaguar: Ima, Fuki ni Yukimasu""",Movie,1,7.03,405,,,,
33856,"""Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen""",ONA,25,6,31,,,,
33857,"""Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen Specials""",Special,4,4,26,,,,
32734,"""Satto Anshin, SAT x Peeping Life""",ONA,3,4.07,66,,,,
29733,"""Sayonara, Midori ga ike: Tobe! Tako Glider!!""",OVA,1,6.8,54,,,,
11609,"""Shuukan Shimakou: Sono Toki, Shimakou ga Ugoita!""",TV,11,5.52,130,,,,
26093,"""Tanbai Haru, Tookaraji""",OVA,1,5.25,50,,,,
30582,"""That&#039;s Hanakappa Musical: Pan to Gohan, Docchi nano!?""",Movie,1,5.2,51,,,,
16253,"""Umi Da! Funade Da! Nikoniko, Pun""",Movie,1,6.38,79,,,,
33776,"""Watashitachi, Luck Logic-bu! 2""",ONA,Unknown,5.85,323,,,,
15815,"""Yakeato no, Okashi no Ki""",Special,1,6.92,88,,,,
29837,"""Yakushiji Ryouko no Kaiki Jikenbo: Hamachou, Voice &amp; Fiction""",Special,1,5.97,190,,,,
3500,"""Yume Miru, Anime: on-chan""",TV,26,7,116,,,,
26307,"""Yume, Sora Takaku""",OVA,1,7,43,,,,
34277,"""New Game!: Watashi, Shain Ryokou tte Hajimete nano de…""",OVA,1,,10823,,,,
34498,"""Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?""",Movie,1,,531,,,,
34522,"""Wake Up, Girls! Shin Shou""",TV,Unknown,,381,,,,
2135,"""Sora no Iro, Mizu no Iro""",OVA,2,7.22,9633,,,,
3771,"""Nee, Chanto Shiyou Yo!""",OVA,5,7.09,6171,,,,
13595,"""Suki de Suki de, Suki de The Animation""",OVA,2,7.06,5108,,,,
5644,"""Sora no Iro, Mizu no Iro Ero Specials""",OVA,2,6.86,1771,,,,
16187,"""Marriage Blue: &quot;Konyakusha ga Iru no ni, Doushite Konna Otoko ni......&quot;""",OVA,1,6.32,1755,,,,
32238,"""Watashi wa, Kairaku Izonshou""",OVA,Unknown,6.32,1569,,,,
4365,"""Hitou Meguri The Animation: Wakaokami, Rachiru""",OVA,1,6.28,2678,,,,
31101,"""Aniki no Yome-san nara, Ore ni Hamerarete Hiihii Itteru Tokoro Da yo""",OVA,1,6.15,1807,,,,
5568,"""Rinkan Gakuen: Yamete! ...Okaasan, Minaide!""",OVA,1,5.43,1325,,,,
